id,start_timestamp,end_timestamp,start_long,start_lat,end_long,end_lat,distance
141,1601318642,1601318715,4.479753759,51.0280656,4.481627351,51.0280656,140
142,1601318784,1601318915,4.480114953,51.02796943,4.481634517,51.02796943,340
143,1601318950,1601318988,4.480574517,51.02779545,4.479654679,51.02779545,100
144,1601319089,1601319159,4.479838327,51.02809019,4.481137762,51.02809019,340
145,1601319239,1601319344,4.480959081,51.02724798,4.481107213,51.02724798,350
146,1601319403,1601319727,4.4800345,51.02803734,4.479716871,51.02803734,70
147,1601319458,1601319874,4.466921389,51.01766534,4.4801216,51.01766534,3080
148,1601319874,1601320555,4.479575087,51.02812115,4.479527172,51.02812115,0
149,1601320654,1601320805,4.480197894,51.02786634,4.476478336,51.02786634,910
150,1601320836,1601320918,4.479944493,51.02806969,4.479778888,51.02806969,10
151,1601320985,1601321580,4.482291465,51.01796524,4.473513897,51.01796524,920
152,1601320996,1601321086,4.480052712,51.02828085,4.47969048,51.02828085,100
153,1601321110,1601321423,4.479854679,51.02811233,4.479699954,51.02811233,40
154,1601321564,1601321794,4.479618783,51.02819649,4.478738195,51.02819649,450
155,1601321886,1601322070,4.478562393,51.02708153,4.478256408,51.02708153,220
156,1601322232,1601322820,4.479865093,51.02793796,4.481816667,51.02793796,1250
157,1601324915,1601325272,4.479985786,51.02805803,4.482103826,51.02805803,1350
158,1601324942,1601325755,4.479514781,51.02812113,4.482021944,51.02812113,2110
159,1601325333,1601325391,4.482183129,51.02271616,4.482040079,51.02271616,290
161,1601325340,1601325402,4.481952673,51.02401293,4.481924439,51.02401293,10
162,1601325460,1601325534,4.481891959,51.02400909,4.482099371,51.02400909,430
163,1601325608,1601325657,4.481674175,51.02509593,4.481837941,51.02509593,100
164,1601325899,1601326039,4.482094934,51.02192657,4.481917683,51.02192657,240
165,1601325911,1601325981,4.482094934,51.02192657,4.481983183,51.02192657,540
166,1601326596,1601327025,4.479712445,51.02806879,4.484389698,51.02806879,850
167,1601326660,1601327078,4.479672456,51.02818053,4.484446625,51.02818053,1100
168,1601327343,1601327543,4.479954148,51.02805022,4.485836296,51.02805022,960
169,1601327404,1601327548,4.480093784,51.02787703,4.485831878,51.02787703,920
170,1601327933,1601328110,4.480096281,51.0279645,4.47865915,51.0279645,330
171,1601327995,1601328058,4.480087203,51.02786953,4.478672888,51.02786953,570
172,1601329456,1601329511,4.47882867,51.02677688,4.4787753,51.02677688,10
173,1601330984,1601331264,4.470485503,51.02233897,4.472913146,51.02233897,170
174,1601354839,1601355185,4.48491475,51.02570283,4.48443605,51.02570283,790
175,1601355485,1601355907,4.484485653,51.02905108,4.47294278,51.02905108,2570
176,1601360137,1601360780,4.483931,51.0268141,4.4820067,51.0268141,790
177,1601364563,1601365452,4.47464112,51.02335716,4.495431,51.02335716,4760
179,1601368486,1601370726,4.4789217,51.02837,4.4837559,51.02837,3180
180,1601369857,1601370044,4.48191434,51.02399713,4.478471563,51.02399713,780
182,1601373780,1601375478,4.4787388,51.0268572,4.4786774,51.0268572,10
183,1601374523,1601374797,4.4838993,51.0278189,4.4895172,51.0278189,420
184,1601374854,1601375036,4.4895716,51.026446,4.4837976,51.026446,1120
185,1601377689,1601377745,4.4812358,51.0271473,4.480862673,51.0271473,430
187,1601386224,1601386477,4.478998354,51.02862392,4.482134038,51.02862392,510
188,1601386667,1601387505,4.4837559,51.0275997,4.4837103,51.0275997,1560
189,1601387173,1601387672,4.472281795,51.03230378,4.485185068,51.03230378,2880
190,1601387892,1601388057,4.483806146,51.02752254,4.4831394,51.02752254,370
191,1601394185,1601394413,4.4818972,51.0247357,4.4850542,51.0247357,480
192,1601394515,1601394711,4.482294679,51.02269989,4.48483271,51.02269989,730
193,1601394689,1601394836,4.482284732,51.01788864,4.482784913,51.01788864,100
194,1601394938,1601396875,4.482651134,51.01786198,4.484643555,51.01786198,7820
196,1601395546,1601397169,4.481734969,51.02477845,4.483030485,51.02477845,5780
197,1601397086,1601397695,4.481765175,51.02685632,4.482238207,51.02685632,2030
198,1601397108,1601397752,4.48162791,51.02676309,4.4823206,51.02676309,2340
199,1601399387,1601399704,4.485815836,51.02895075,4.4854975,51.02895075,1260
200,1601399403,1601399747,4.48578846,51.02893821,4.485511,51.02893821,1550
201,1601404391,1601404463,4.4796261,51.028078,4.4796933,51.028078,50
202,1601404572,1601404835,4.479677345,51.0280672,4.4770695,51.0280672,620
203,1601404651,1601404888,4.4796899,51.0280607,4.4770064,51.0280607,690
204,1601413248,1601413480,4.48194668,51.01809185,4.4747446,51.01809185,1390
207,1601414758,1601415007,4.481909207,51.02343787,4.481879504,51.02343787,210
208,1601415350,1601415428,4.481963771,51.02811443,4.48250771,51.02811443,110
209,1601417568,1601417670,4.47810868,51.02936308,4.479524889,51.02936308,530
